github_username,user_short_name,organization,preset_team,sponsor,is_bot,notes
suddjian,Aaron,Preset,Skunkworks,Preset,FALSE,
adam-stasiak,Adam,Preset,Cloud,Preset,FALSE,
alanhsia-preset,Alan,Preset,Marketing/GTM,Preset,FALSE,
innovia,Ami,Preset,Cloud,Preset,FALSE,
amitmiran137,Amit,Nielsen,Skunkworks-collab,Nielsen,FALSE,
betodealmeida,Beto,Preset,Pirate Squirrels,Preset,FALSE,
dpgaspar,Daniel G,Preset,Team X,Preset,FALSE,
daniel10012,Daniel W.,Preset,Customer Engagement,Preset,FALSE,
geido,Diego,Flexiana,Skunkworks,Preset,FALSE,
eschutho,Elizabeth,Preset,Pirate Squirrels,Preset,FALSE,
eugeniamz,Eugenia,Preset,Customer Engagement,Preset,FALSE,
rusackas,Evan,Preset,Skunkworks,Preset,FALSE,
guhan,Guhan,Preset,Cloud,Preset,FALSE,
henryyeh,Henry,Preset,Cloud,Preset,FALSE,
hughhhh,Hugh,Preset,Pirate Squirrels,Preset,FALSE,
ktmud,Jesse,Airbnb,Skunkworks-collab,Airbnb,FALSE,
junlincc,Junlin,Preset,Skunkworks,Preset,FALSE,
kgabryje,Kamil,Preset,Skunkworks,Preset,FALSE,
lilykuang,Lily,Preset,Team X,Preset,FALSE,
mistercrunch,Max,Preset,CEO,Preset,FALSE,
mayurnewase,Mayur,Community,Skunkworks-collab,Community,FALSE,
michael-s-molina,Michael,Turing,Skunkworks,Preset,FALSE,
mihir174,Mihir,Preset,Desginer,Preset,FALSE,
riahk,Moriah,Preset,Team X,Preset,FALSE,
pkdotson,Phillip,Preset,Skunkworks,Preset,FALSE,
robdiciuccio,Rob,Preset,Cloud,Preset,FALSE,
garden-of-delete,Robert,Preset,Developer Advocate,Preset,FALSE,
simcha90,Simcha,Preset,Skunkworks-collab,Preset,FALSE,
yousoph,Sophie,Preset,Product Management,Preset,FALSE,
srinify,Srini,Preset,Developer Advocate,Preset,FALSE,
Steejay,Stephen,Preset,Designer,Preset,FALSE,
nytai,Tai,Preset,Team X,Preset,FALSE,
villebro,Ville,Preset,Skunkworks,Preset,FALSE,
willbarrett,Will,Preset,Team X,Preset,FALSE,
zhaoyongjie,Yongjie,Preset,Skunkworks,Preset,FALSE,
craig-rueda,Craig,Preset,Cloud,Preset,FALSE,
xiezhongfu,xiezhongfu,Preset,Skunkworks,Preset,FALSE,
stephenLYZ,stephenLYZ,Preset,Skunkworks,Preset,FALSE,
preset-machine,preset-machine,BOT,BOT,BOT,TRUE,
clubhouse[bot],clubhouse[bot],BOT,BOT,BOT,TRUE,
codecov[bot],codecov[bot],BOT,BOT,BOT,TRUE,
dependabot[bot],dependabot[bot],BOT,BOT,BOT,TRUE,
jakebellacera,Jake,Indie,Contractor,Preset,FALSE,jake built our website
stevenuray,Steven U,Preset,Cloud,Preset,FALSE,
benjreinhart,Ben,Preset,Platform,Preset,FALSE,Ben was with us for a short time
samtfm,Sam,Preset,Team X,Preset,FALSE,
marcomiduri,Marco,Preset,Marketing/GTM,Preset,FALSE,
jinghua-qa,Jinghua,Preset,Cloud,Preset,FALSE,
KatiaZh,Katia,Preset,Marketing/GTM,Preset,FALSE,
netlify[bot],netlify[bot],BOT,BOT,BOT,TRUE,
jlysd,Jessica,Preset,Team X,Preset,FALSE,
jfrag1,Jack,Preset,Team X,Preset,FALSE,
nruhe,Nathalie,Preset,Team X,Preset,FALSE,
AAfghahi,Arash,Preset,Pirate Squirrels,Preset,FALSE,
rosemarie-chiu,Rosemarie,Preset,Cloud,Preset,FALSE,
github-actions[bot],github-actions[bot],BOT,BOT,BOT,TRUE,
