poll_response,poll_text_response,poll_id
00060v7dbat9ln,Select an option,mcyh7sxmqr
001f06ez4kmais,Data Engineer,mcyh7sxmqr
002ls98295p44,Data Analyst,mcyh7sxmqr
003hpbmh9k2gbq,Data Scientist,mcyh7sxmqr
004mokb2jgaa0e,Business Operations,mcyh7sxmqr
005jvp455dwejg,Developer,mcyh7sxmqr
006sd4rw772mym,Executive,mcyh7sxmqr
007hga4f5auanc,Other,mcyh7sxmqr
000x3fshe7haf,Select an option,m4xdm240nu
001uv28if9e46p,Engineering,m4xdm240nu
00213whqdi0fj7,Marketing and Sales,m4xdm240nu
003etprh84edp,Operations,m4xdm240nu
004ptm2l7ubq9l,Finance,m4xdm240nu
0056c5z0taclst,HR and Legal,m4xdm240nu
0066v8g5swi5ka,Customer Service,m4xdm240nu
0070zhl01r58ir,IT Support,m4xdm240nu
008fo7su77lc29,Product,m4xdm240nu
009lke40i9g8k,Student,m4xdm240nu
010wrqsysvrpcc,Other,m4xdm240nu
000il5fbspynlb,Yes,5s29i0pfe1h
001zxgdkbadzj,No,5s29i0pfe1h
